Author,Section,Question,Answer
Auto Summary,3.1,How many pseudo-words are used to compute trigram probabilities at the very beginning of a sentence?,two
Auto Summary,3.2.0,What is the best way to evaluate the performance of a language model?,measure how much it improves
Auto Summary,3.2.0,What is the best way to evaluate the performance of a language model?,extrinsic evaluation
Auto Summary,3.2.0,What are the probabilities of an n-gram model trained on?,the training set or test corpus
Auto Summary,3.2.0,How can we measure the quality of an n-gram model?,performance on some unseen data
Auto Summary,3.2.0,What can be taken from a continuous sequence of text inside the corpus?,test data
Auto Summary,3.2.0,Why do we want our test set to be as large as possible?,small test set may be accidentally unrepresentative
Auto Summary,3.2.1,What is the perplexity of a language model on a test set?,the inverse probability of the test set
Auto Summary,3.2.1,What can we use to expand the probability of W?,the chain rule
Auto Summary,3.2.1,What is the number of possible next words that can follow any word?,The branching factor
Auto Summary,3.2.1,What are the digits in English?,"zero, one, two..., nine"
Auto Summary,3.2.1,What is the perplexity of a mini-language?,10
Auto Summary,3.2.1,Perplexity is closely related to the information-theoretic notion of what?,entropy
Auto Summary,3.2.1,"The lower the perplexity, the more information the n-gram gives us about what?",the word sequence
Auto Summary,3.2.1,The perplexity of two language models is only comparable if they use what?,identical vocabularies
Auto Summary,3.3.0,The n-gram model is dependent on what?,training corpus
Auto Summary,3.3.0,"The longer the context on which we train the model, the more coherent what?",sentences
Auto Summary,3.3.0,What random sentences can we generate sentences from?,"bigrams, trigrams, and 4-grams"
Auto Summary,3.3.0,What sentences have no coherent relation between words or any sentence-final punctuation?,unigram sentences
Auto Summary,3.3.0,What sentences have some local word-to-word coherence?,bigram sentences
Auto Summary,3.3.0,What type of sentences are beginning to look a lot like Shakespeare?,4-gram
Auto Summary,3.3.0,"The words ""It cannot be but so"" are directly from what?",King John
Auto Summary,3.3.0,What should a training corpus have?,similar genre
Auto Summary,3.3.0,What is important to get training data in?,appropriate dialect or variety
Auto Summary,3.3.0,"For any n-gram that occurred a sufficient number of times, we might have what?",a good estimate of its probability
Auto Summary,3.3.0,What language is bound to be missing from a training corpus?,English
Auto Summary,3.3.0,What is still not sufficient?,Matching genres and dialects
Auto Summary,3.3.0,Our models may still be subject to the problem of what?,sparsity
Auto Summary,3.3.1,What is zero for words that we haven't seen before?,bigram probability
Auto Summary,3.3.1,What is the problem of words whose bigram probability is zero?,words we simply have never seen before
Auto Summary,3.3.1,What do we know in a language task?,all the words that can occur
Auto Summary,3.3.1,What are OOV words?,out of vocabulary
Auto Summary,3.3.1,What can a language model achieve by choosing a small vocabulary and assigning the unknown word a high probability?,low perplexity
Auto Summary,3.3.1,The exact choice of UNK> model does have an effect on metrics like what?,perplexity
Auto Summary,3.3.1,What should only be compared across language models with the same vocabularies?,perplexities
Auto Summary,3.4.0,What context do words that are in our vocabulary appear in a test set in?,unseen
Auto Summary,3.4.0,What do we do to keep a language model from assigning zero probability to unseen events?,shave off a bit of probability mass
Auto Summary,3.4.0,What is a modification called to keep a language model from assigning zero probability to unseen events?,smoothing or discounting
Auto Summary,3.4.1,What does not perform well enough to be used in modern n-gram models?,Laplace smoothing
Auto Summary,3.4.1,What is the algorithm that introduces many concepts that we see in other smoothing algorithms called?,add-one smoothing
Auto Summary,3.4.1,How many counts does add-one smoothing add to each count?,one
Auto Summary,3.4.1,How can we turn c* into a probability P*?,normalizing by N
Auto Summary,3.4.1,What algorithm has made a very big change to the counts?,Add-one smoothing
Auto Summary,3.4.1,C(want to) changed from what to 238?,609
Auto Summary,3.4.1,What decreases from.66 in the unsmoothed case to.26 in the smoothed case?,P(to|want)
Auto Summary,3.4.2,"Instead of adding I to each count, we add what?",fractional count k
Auto Summary,3.4.2,What is the algorithm that adds fractional count k called?,add-k smoothing
Auto Summary,3.4.2,Add-k smoothing doesn't work well for what?,language modeling
Auto Summary,3.4.3,What can help solve the problem of zero frequency n-grams?,Discounting
Auto Summary,3.4.3,What can we draw on to solve the problem of zero frequency n-grams?,additional source of knowledge
Auto Summary,3.4.3,What can we use to estimate the probability of a particular trigram?,bigram probability
Auto Summary,3.4.3,"If we don't have counts to compute the bigrams probability, what can we look to?",unigrams
Auto Summary,3.4.3,How do we estimate the trigram probability?,"by mixing together the unigram, bigram, and trigram probabilities, each weighted by a lambdas"
Auto Summary,3.4.3,How is each weight computed in a slightly more sophisticated version of linear interpolation?,by conditioning on the context
Auto Summary,3.4.3,What shows the equation for interpolation with context-conditioned weights?,Equation 3.28
Auto Summary,3.4.3,How do we approximate a backoff n-gram model?,by backing off to the (N-1)-gram
Auto Summary,3.4.3,In what model do we rely on a discounted probability P* if we've seen this n-ram before?,Katz backoff
Auto Summary,3.5,What method does Kneser-Ney have roots in?,absolute discounting
Auto Summary,3.5,Why is it necessary to save some probability mass for the smoothing algorithm?,to distribute to unseen n-grams
Auto Summary,3.5,Who used a clever idea to see how to save some probability mass for the smoothing algorithm to distribute to unseen n-grams?,Church and Gale
Auto Summary,3.5,What formalizes this intuition by subtracting a fixed (absolute) discount d from each count?,Absolute discounting
Auto Summary,3.5,What will not affect the very high counts?,a small discount d
Auto Summary,3.5,Kneser-Ney discounting augments absolute discounting with a more sophisticated way to handle what?,lower-order unigram distribution
Auto Summary,3.5,What does the Kneser-Ney intuition base our estimate of P on?,number of different contexts word w has appeared in
Auto Summary,3.5,How many contexts have words appeared in in the past?,more
Auto Summary,3.5,How many contexts does a frequent word (Kong) occur in?,one
Auto Summary,3.5,What is the final equation for Interpolated Kneser-Ney smoothing for bigrams?,3.35
Auto Summary,3.5,What is the best performing version of smoothing called?,modified Kneer Ney
Auto Summary,3.5,"How many different discounts does modified Kneer Ney use for n-grams with counts of 1, 2 and 3 or more?",three
Auto Summary,3.6,What does the Web 1 Trillion 5-gram corpus include?,n-grams
Auto Summary,3.6,What corpora includes n-rams drawn from their book collections?,Google Books Ngrams
Auto Summary,3.6,How many words are in the Google Books Ngrams corpus?,"1,024,908,267,229"
Auto Summary,3.6,What do language model toolkits use to combine probabilities and backoffs in a single value?,sorted arrays
Auto Summary,3.6,What algorithm does not produce a probability distribution?,stupid backoff
Auto Summary,3.6,What does stupid backoff not produce?,probability distribution
Auto Summary,3.6,Where does the stupid backoff end?,unigram
Auto Summary,3.7,What is a lower bound on the number of bits it would take to encode a certain decision or piece of information in the optimal coding scheme?,entropy
